stop_id,stop_name,lat,lon,dist_from_lodz_km,reason,confidence
1700008,Zacharz Południowa kier. Rokiciny,51.602583,19.748611,26.6,"rural, 26.6 km from Łódź",medium
1500008,Słotwiny PKP kier. Będzelin,51.722509,19.839686,26.66,"rural, 26.7 km from Łódź",medium
1500027,Słotwiny PKP kier. Budziszewice,51.722509,19.839686,26.66,"rural, 26.7 km from Łódź",medium
1700021,Rokiciny Rondo kier. Dworzec PKP przez Wilkucice,51.651222,19.802389,26.66,"rural, 26.7 km from Łódź",medium
2200002,Słotwiny - przystanek autobusowy ul. Tomaszowska,51.72248263,19.8396563,26.66,"rural, 26.7 km from Łódź",medium
2200021,Słotwiny - przystanek autobusowy ul. Tomaszowska,51.72248263,19.8396563,26.66,"rural, 26.7 km from Łódź",medium
1700002,Rokiciny Rondo kier. Łaznów ŁA 7,51.648852,19.801606,26.73,"rural, 26.7 km from Łódź",medium
11000028,Rokiciny Rondo kier. Łaznów ŁA 10,51.648852,19.801606,26.73,"rural, 26.7 km from Łódź",medium
1700004,Łaznów OSP ŁA 7,51.627917,19.782695,26.78,"rural, 26.8 km from Łódź",medium
11000030,Łaznów OSP ŁA 10,51.627917,19.782695,26.78,"rural, 26.8 km from Łódź",medium
1600083,Parzęczew Szkoła kier. Dalików,51.94326294,19.20513335,26.79,"rural, 26.8 km from Łódź",medium
1700014,Rokiciny Rondo kier. Łaznów przez Wilkucice,51.649472,19.803,26.79,"rural, 26.8 km from Łódź",medium
1600081,Parzęczew Szkoła  kier. Ozorków PKP,51.94327617,19.20505959,26.8,"rural, 26.8 km from Łódź",medium
11100026,Remiszewice kier. Rydzynki,51.58821786,19.73125576,26.82,"rural, 26.8 km from Łódź",medium
11100025,Remiszewice kier. Będków,51.58812948,19.73133732,26.83,"rural, 26.8 km from Łódź",medium
1700011,Łaznów OSP kier. Rokiciny,51.628834,19.784666,26.84,"rural, 26.8 km from Łódź",medium
11000001,Łaznów OSP kier. Gałkówek Dworzec PKP,51.628834,19.784666,26.84,"rural, 26.8 km from Łódź",medium
1700019,Albertów kier. Łaznów,51.676306,19.823445,26.88,"rural, 26.9 km from Łódź",medium
1700023,Albertów kier. Rokiciny,51.676278,19.823473,26.88,"rural, 26.9 km from Łódź",medium
1600059,Dalików Wchodnia 68 kier. Ozorków PKP,51.88495543,19.12263227,26.9,"rural, 26.9 km from Łódź",medium
1600074,Dalików Wchodnia 68 kier. Kościół,51.88501947,19.12263565,26.9,"rural, 26.9 km from Łódź",medium
1600042,Ozorków Kolejowa  Dw. PKP Ozorków,51.972548,19.266581,27.08,"rural, 27.1 km from Łódź",medium
32540,Ozorków,51.97249,19.265956,27.1,"rural, 27.1 km from Łódź",medium
1700003,Łaznów pos. 160 kier. OSP ŁA 7,51.638469,19.798522,27.1,"rural, 27.1 km from Łódź",medium
11000029,Łaznów pos. 160 kier. OSP ŁA 10,51.638469,19.798522,27.1,"rural, 27.1 km from Łódź",medium
1700012,Łaznów pos. 160 kier. Rokiciny,51.637877,19.798416,27.13,"rural, 27.1 km from Łódź",medium
11000002,Łaznów pos. 160 kier. Gałkówek Dworzec PKP,51.637877,19.798416,27.13,"rural, 27.1 km from Łódź",medium
1600001,Parzęczew / Kościół  kier. Ozorków PKP,51.948802,19.206014,27.23,"rural, 27.2 km from Łódź",medium
47324,Wągry,51.791288,19.849478,27.24,"rural, 27.2 km from Łódź",medium
1600051,Parzęczew / Kościół kier. Leźnica Wlk (Osiedle),51.948972,19.205917,27.25,"rural, 27.2 km from Łódź",medium
1600058,Dalików Cmentarz kier. Ozorków PKP,51.88416708,19.11316336,27.41,"rural, 27.4 km from Łódź",medium
1600075,Dalików Cmentarz kier. Kościół,51.88420745,19.11312502,27.42,"rural, 27.4 km from Łódź",medium
1700007,Będków Kościół,51.587522,19.74735,27.67,"rural, 27.7 km from Łódź",medium
1700018,Wilkucice Małe kier. Łaznów,51.676445,19.83575,27.67,"rural, 27.7 km from Łódź",medium
1700024,Wilkucice Małe kier. Rokiciny,51.676056,19.836916,27.76,"rural, 27.8 km from Łódź",medium
1500007,Redzeń Nowy kier. Będzelin,51.720548,19.857836,27.93,"rural, 27.9 km from Łódź",medium
1700028,Janków Skrzyżowanie kier. Rokiciny,51.640666,19.815083,27.98,"rural, 28.0 km from Łódź",medium
1600057,Dalików Kościół,51.88244039,19.10193901,27.99,"rural, 28.0 km from Łódź",medium
1500028,Redzeń Nowy kier. Budziszewice,51.720078,19.859308,28.04,"rural, 28.0 km from Łódź",medium
46862,Głowno,51.961254,19.702845,28.1,"rural, 28.1 km from Łódź",medium
2300023,Głowno przy stacji PKP (ul. Kolejowa 2),51.96127884,19.70355761,28.13,"rural, 28.1 km from Łódź",medium
2300008,Głowno przy stacji PKP (ul. Kolejowa 2),51.96132748,19.70359596,28.14,"rural, 28.1 km from Łódź",medium
1700015,Janków kier. Łaznów,51.647861,19.834639,28.82,"rural, 28.8 km from Łódź",medium
1700027,Janków kier. Rokiciny,51.647722,19.834472,28.82,"rural, 28.8 km from Łódź",medium
1700016,Maksymilianów kier. Łaznów,51.656083,19.841222,28.85,"rural, 28.9 km from Łódź",medium
1700026,Maksymilianów kier. Rokiciny,51.656111,19.841194,28.85,"rural, 28.8 km from Łódź",medium
1700017,Wilkucice Duże kier. Łaznów,51.665167,19.847527,28.87,"rural, 28.9 km from Łódź",medium
1700025,Wilkucice Duże kier. Rokiciny,51.665,19.847389,28.87,"rural, 28.9 km from Łódź",medium
1600076,Lubocha I kier. Ozorków PKP,51.89310566,19.0962413,28.92,"rural, 28.9 km from Łódź",medium
1600089,Lubocha I kier. Dalików,51.89308027,19.09614367,28.92,"rural, 28.9 km from Łódź",medium
1100052,Łask Pl. 11 Listopada kier. Dworzec PKP,51.592508,19.133919,28.98,"rural, 29.0 km from Łódź",medium
1100002,Łask Pl. 11 Listopada kier. Szczerców,51.592397,19.133672,29.0,"rural, 29.0 km from Łódź",medium
1600050,Chrząstów Wielki kier. Ozorków PKP,51.956583,19.180917,29.0,"rural, 29.0 km from Łódź",medium
1600052,Chrząstów Wielki kier. Leźnica Wlk (Osiedle),51.956611,19.180111,29.04,"rural, 29.0 km from Łódź",medium
1500029,Redzeń Stary kier. Budziszewice,51.715353,19.873786,29.11,"rural, 29.1 km from Łódź",medium
1500006,Redzeń Stary kier. Będzelin,51.714622,19.874275,29.16,"rural, 29.2 km from Łódź",medium
1100003,Łask Narutowicza ŁDK kier. Szczerców,51.589386,19.132581,29.28,"rural, 29.3 km from Łódź",medium
1100051,Łask Narutowicza ŁDK kier. Dworzec PKP,51.589,19.132575,29.31,"rural, 29.3 km from Łódź",medium
1100072,Łask Żeromskiego kier. Dworzec PKP,51.59975,19.117417,29.37,"rural, 29.4 km from Łódź",medium
1100073,Łask Żeromskiego kier. Szczerców,51.59925,19.118028,29.37,"rural, 29.4 km from Łódź",medium
46649,Łask,51.603691,19.11175,29.42,"rural, 29.4 km from Łódź",medium
1100001,Łask ul. Kolejowa (dworzec PKP),51.603378,19.112017,29.43,"rural, 29.4 km from Łódź",medium
1100004,Łask Narutowicza 32 kier. Szczerców,51.587158,19.132159,29.46,"rural, 29.5 km from Łódź",medium
1600080,Budzynek kier. Ozorków PKP,51.93078174,19.1288154,29.53,"rural, 29.5 km from Łódź",medium
1600085,Budzynek kier. Dalików,51.93087436,19.12856059,29.55,"rural, 29.6 km from Łódź",medium
1110450,Rogów Towarowy Wąskotorowy,51.812364,19.879919,29.68,"rural, 29.7 km from Łódź",medium
1100005,Łask Narutowicza/Słoneczna kier. Szczerców,51.583816,19.131634,29.73,"rural, 29.7 km from Łódź",medium
1600053,Chrząstówek kier. Leźnica Wlk (Osiedle),51.956944,19.165056,29.75,"rural, 29.8 km from Łódź",medium
1100050,Łask Narutowicza/Słoneczna kier. Dworzec PKP,51.583159,19.13165,29.78,"rural, 29.8 km from Łódź",medium
1600049,Chrząstówek kier. Ozorków PKP,51.957,19.162944,29.86,"rural, 29.9 km from Łódź",medium
1600077,Lubocha II kier. Ozorków PKP,51.90380364,19.09044696,29.88,"rural, 29.9 km from Łódź",medium
1600088,Lubocha II kier. Dalików,51.90380708,19.09034564,29.89,"rural, 29.9 km from Łódź",medium
1110449,Rogów Osobowy Wąskotorowy,51.817031,19.885713,30.18,"rural, 30.2 km from Łódź",medium
47316,Rogów,51.817877,19.885916,30.21,"rural, 30.2 km from Łódź",medium
1800015,Rogów Dworzec PKP,51.817695,19.886472,30.25,"rural, 30.2 km from Łódź",medium
1100049,Gorczyn 65 kier. Łask,51.575306,19.132889,30.3,"rural, 30.3 km from Łódź",medium
1100092,Gorczyn 65 kier. Szczerców,51.575048,19.132959,30.31,"rural, 30.3 km from Łódź",medium
1100048,Gorczyn kier. Łask,51.572195,19.136052,30.37,"rural, 30.4 km from Łódź",medium
1100007,Gorczyn kier. Szczerców,51.571942,19.136261,30.38,"rural, 30.4 km from Łódź",medium
1600054,Różyce kier. Leźnica Wlk (Osiedle),51.959278,19.154333,30.44,"rural, 30.4 km from Łódź",medium
1600048,Różyce kier. Ozorków PKP,51.959306,19.154278,30.45,"rural, 30.4 km from Łódź",medium
1500031,Regny Kaplica kier. Budziszewice,51.697827,19.887964,30.46,"rural, 30.5 km from Łódź",medium
280933,Głowno Północne,51.979236,19.722464,30.51,"rural, 30.5 km from Łódź",medium
1500004,Regny Kaplica kier. Będzelin,51.697041,19.888677,30.52,"rural, 30.5 km from Łódź",medium
1600079,Psary kier. Ozorków PKP,51.92830857,19.10699838,30.52,"rural, 30.5 km from Łódź",medium
1600086,Psary kier. Dalików,51.92836669,19.10691821,30.53,"rural, 30.5 km from Łódź",medium
47399,Baby,51.536098,19.716384,30.59,"rural, 30.6 km from Łódź",medium
1100047,Gorczyn 78 kier. Łask,51.566658,19.13903,30.65,"rural, 30.7 km from Łódź",medium
1800018,Marianów Roqowski I kier. Rawa Maz.,51.806806,19.895944,30.65,"rural, 30.7 km from Łódź",medium
1100093,Gorczyn 78 kier. Szczerców,51.566583,19.138972,30.66,"rural, 30.7 km from Łódź",medium
1800017,Marianów Roqowski II kier. Rawa Maz.,51.812611,19.896306,30.79,"rural, 30.8 km from Łódź",medium
1800013,Marianów Roqowski II kier. Rogów PKP,51.812722,19.896389,30.8,"rural, 30.8 km from Łódź",medium
1600047,Różyce 29 kier. Ozorków PKP,51.966472,19.157306,30.89,"rural, 30.9 km from Łódź",medium
